,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
3824,0,1,1,Islamic not Arabic countries,PRODUCTS OF FLATTENED CAST IRON W/ THICKNESS < 10MM.,72085100
3825,0,7,11,"Asian not Arabic ,not Islamic",PRODUCTS OF FLATTENED CAST IRON W/ THICKNESS < 10MM.,72085100
3826,0,0,1,Gulf Cooperation Council,OTHERS WITH THICKNESS ? 4.75MM & . 10MM.,72085200
3827,0,0,1,"Asian not Arabic ,not Islamic",OTHERS WITH THICKNESS ? 4.75MM & . 10MM.,72085200
3828,0,0,0,Other Country Groups,OTHERS WITH THICKNESS ? 4.75MM & . 10MM.,72085200
3829,0,5,22,Gulf Cooperation Council,OTHERS WITH THICKNESS ? 3MM BUT LESS THAN 4.75MM.,72085300
3830,0,0,0,Other Country Groups,OTHERS WITH THICKNESS ? 3MM BUT LESS THAN 4.75MM.,72085300
3831,0,5,11,Gulf Cooperation Council,OTHER HOT-ROLLED IRON OR STEEL,72089000
3832,0,4,13,Other Arab League Countries,OTHER HOT-ROLLED IRON OR STEEL,72089000
3833,0,10,17,"Asian not Arabic ,not Islamic",OTHER HOT-ROLLED IRON OR STEEL,72089000
3834,0,0,6,European Union,OTHER HOT-ROLLED IRON OR STEEL,72089000
3835,0,0,0,Other Country Groups,OTHER HOT-ROLLED IRON OR STEEL,72089000
3836,0,5,14,Other Arab League Countries,OTHER FLAT-COLD ROLLED PRODUCTS OF IRONS OF THICKNESS 3MM OR MORE,72091500
3837,0,0,0,Other Country Groups,OTHER FLAT-COLD ROLLED PRODUCTS OF IRONS OF THICKNESS 3MM OR MORE,72091500
3838,0,2,3,Gulf Cooperation Council,PROD. OF FLATTENED CAST IRON W/ THICKNESS >1MM & <3MM.,72091600
