,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
31,0,0,1,Gulf Cooperation Council,"MINCED MEAT OF SHEEP, CHOPPED BURGER",02044310
32,0,0,0,Other Country Groups,"MINCED MEAT OF SHEEP, CHOPPED BURGER",02044310
33,0,1,8,Other Arab League Countries,"BONELESS SHEEP MEAT ,FROZEN",02044390
34,0,0,0,Other Country Groups,"BONELESS SHEEP MEAT ,FROZEN",02044390
35,0,0,1,Gulf Cooperation Council,FRESH OFFAL OF OTHER ANIMALS,02068090
36,0,0,1,Other Arab League Countries,FRESH OFFAL OF OTHER ANIMALS,02068090
37,0,14,214,Gulf Cooperation Council,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100
38,0,1,8,Other Arab League Countries,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100
39,0,3,38,Gulf Cooperation Council,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
40,0,2,13,Other Arab League Countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
41,0,1,2,Islamic not Arabic countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
42,0,3,9,"African not Arabic,not Islamic",UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
43,0,1,9,South America,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
44,0,5,115,Gulf Cooperation Council," Cuts and offal, fresh or chilled (gallus.domesticus )",02071300
45,0,0,0,Other Country Groups," Cuts and offal, fresh or chilled (gallus.domesticus )",02071300
46,0,10,89,Gulf Cooperation Council," Cuts and offal, frozen(chikens)",02071400
47,0,0,2,Other Arab League Countries," Cuts and offal, frozen(chikens)",02071400
48,0,0,1,Islamic not Arabic countries," Cuts and offal, frozen(chikens)",02071400
49,0,0,1,"Asian not Arabic ,not Islamic"," Cuts and offal, frozen(chikens)",02071400
50,0,3,25,South America," Cuts and offal, frozen(chikens)",02071400
51,0,0,1,Other Country Groups," Cuts and offal, frozen(chikens)",02071400
52,0,0,6,Gulf Cooperation Council,FROZEN PIGEON OR SIMILAR MEAT,02089032
53,0,1,2,Gulf Cooperation Council,OTHER LIVE FISH,03019900
54,0,1,1,Gulf Cooperation Council,OTHER FRESH SALMONIDAE,03021900
55,0,0,1,Other Arab League Countries,OTHER FRESH SALMONIDAE,03021900
56,0,3,12,Gulf Cooperation Council,INDIAN MACKEREL (RASTRELLIGER KANAGURTA),03024420
57,0,2,6,Gulf Cooperation Council,"OTHERS FROM FISH  (FROZEN,FRESH)",03024490
58,0,0,0,Other Country Groups,"OTHERS FROM FISH  (FROZEN,FRESH)",03024490
59,0,0,2,Other Arab League Countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03027200
60,0,0,3,Gulf Cooperation Council,BREAM (KASHIR),03028910
61,0,0,0,Other Country Groups,BREAM (KASHIR),03028910
62,0,0,1,Gulf Cooperation Council,TILAPIA FROZEN,03032300
63,0,0,1,Other Country Groups,TILAPIA FROZEN,03032300
64,0,0,1,Gulf Cooperation Council,INDIAN MACKEREL (RASTRELLIGER KANAGURTA) FROZEN,03035420
65,0,0,1,Islamic not Arabic countries,INDIAN MACKEREL (RASTRELLIGER KANAGURTA) FROZEN,03035420
66,0,0,1,Islamic not Arabic countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03036900
67,0,0,1,Other Country Groups,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03036900
68,0,0,2,Gulf Cooperation Council,GROUPERS FROZEN,03038910
69,0,0,1,"African not Arabic,not Islamic"," Other Slices  of Groupers Or Emperors, frozen",03046900
70,0,0,1,North America," Other Slices  of Groupers Or Emperors, frozen",03046900
71,0,0,1,Other Country Groups," Other Slices  of Groupers Or Emperors, frozen",03046900
72,0,5,25,Gulf Cooperation Council," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
73,0,0,3,Gulf Cooperation Council,"ROCK LOBSTER AND OTHER SEA CRAWFISH, FROZEN",03061100
74,0,0,0,Other Country Groups,"ROCK LOBSTER AND OTHER SEA CRAWFISH, FROZEN",03061100
75,0,0,1,Gulf Cooperation Council,"LOBSTERS, FROZEN",03061200
76,0,0,0,Other Country Groups,"LOBSTERS, FROZEN",03061200
77,0,0,2,Other Arab League Countries,"CRABS, FROZEN",03061400
78,0,0,0,Other Country Groups,"CRABS, FROZEN",03061400
79,0,0,2,Gulf Cooperation Council,"SHRIMPS AND PRAWNS, FROZEN",03061600
80,0,0,9,Other Arab League Countries,"SHRIMPS AND PRAWNS, FROZEN",03061600
81,0,0,0,Other Country Groups,"SHRIMPS AND PRAWNS, FROZEN",03061600
82,0,1,26,Gulf Cooperation Council,"SHRIMPS AND PRAWNS, FROZEN",03061700
83,0,1,22,Other Arab League Countries,"SHRIMPS AND PRAWNS, FROZEN",03061700
84,0,0,1,Islamic not Arabic countries,"SHRIMPS AND PRAWNS, FROZEN",03061700
85,0,14,315,"Asian not Arabic ,not Islamic","SHRIMPS AND PRAWNS, FROZEN",03061700
86,0,0,8,"African not Arabic,not Islamic","SHRIMPS AND PRAWNS, FROZEN",03061700
87,0,0,7,Australia and Oceania,"SHRIMPS AND PRAWNS, FROZEN",03061700
88,0,1,13,North America,"SHRIMPS AND PRAWNS, FROZEN",03061700
89,0,2,33,European Union,"SHRIMPS AND PRAWNS, FROZEN",03061700
90,0,0,3,Gulf Cooperation Council,OTHER FROZEN CRUSTACEANS,03061900
91,0,0,6,Other Arab League Countries,OTHER FROZEN CRUSTACEANS,03061900
92,34,0,1,Gulf Cooperation Council,CRABS,03062400
93,0,0,2,Other Arab League Countries,SHRIMPS AND PRAWNS,03062600
94,0,0,0,Other Country Groups,SHRIMPS AND PRAWNS,03062600
95,0,0,1,Gulf Cooperation Council,SHRIMPS AND PRAWNS,03062700
96,0,0,1,Other Arab League Countries,SHRIMPS AND PRAWNS,03062700
97,0,1,8,Gulf Cooperation Council,OTHER CRUSTACEANS,03062900
98,0,1,10,Other Arab League Countries,OTHER CRUSTACEANS,03062900
99,0,0,0,Other Country Groups,OTHER CRUSTACEANS,03062900
100,0,0,1,Other Arab League Countries,"LIVE, FRESH OR CHILLED CUTTLE FISH",03074100
101,0,0,0,Other Country Groups,"LIVE, FRESH OR CHILLED CUTTLE FISH",03074100
102,0,0,2,Other Arab League Countries,OTHER CUTTLE FISH,03074900
103,0,0,0,Other Country Groups,OTHER CUTTLE FISH,03074900
104,0,68,228,Gulf Cooperation Council,LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
105,0,29,75,Other Arab League Countries,LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
106,0,0,2,Islamic not Arabic countries,LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
107,0,0,1,"African not Arabic,not Islamic",LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
108,0,0,0,Other Country Groups,LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
109,0,76,254,Gulf Cooperation Council,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
110,0,43,192,Other Arab League Countries,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
111,0,0,8,"Asian not Arabic ,not Islamic",OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
112,0,0,0,Other Country Groups,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
113,0,0,1,Gulf Cooperation Council,LONG LIFE MILK IN REFILLS MORE THAN ONE LITER(FAT1- 6%UNSWEETENED,04012030
114,0,1,2,Other Arab League Countries,LONG LIFE MILK IN REFILLS MORE THAN ONE LITER(FAT1- 6%UNSWEETENED,04012030
115,0,0,0,Other Country Groups,LONG LIFE MILK IN REFILLS MORE THAN ONE LITER(FAT1- 6%UNSWEETENED,04012030
116,0,3,8,Gulf Cooperation Council,"OTHER TYPES OF LONG LIFE MILK IN REF > 1 LITER, FAT 6%.",04012090
117,0,0,1,Other Arab League Countries,"OTHER TYPES OF LONG LIFE MILK IN REF > 1 LITER, FAT 6%.",04012090
118,0,0,0,Other Country Groups,"OTHER TYPES OF LONG LIFE MILK IN REF > 1 LITER, FAT 6%.",04012090
119,0,0,1,Gulf Cooperation Council,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04014030
120,0,3,8,Other Arab League Countries,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04014030
121,0,4,8,Gulf Cooperation Council,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04015030
122,0,1,2,Other Arab League Countries,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04015030
123,0,0,0,Other Country Groups,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04015030
124,0,1,3,Other Arab League Countries,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
125,0,0,0,Other Country Groups,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
126,0,0,6,Gulf Cooperation Council,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
127,0,0,2,Other Arab League Countries,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
128,0,0,1,Other Country Groups,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
129,0,4,45,Gulf Cooperation Council,OTHER LOW FAT SOLID MILK,04021090
130,0,0,3,Other Arab League Countries,OTHER LOW FAT SOLID MILK,04021090
131,0,0,0,Other Country Groups,OTHER LOW FAT SOLID MILK,04021090
132,0,0,4,Gulf Cooperation Council,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
133,0,3,21,Other Arab League Countries,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
134,0,0,1,Islamic not Arabic countries,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
135,0,0,0,Other Country Groups,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
136,0,5,45,Gulf Cooperation Council,"OTHER SOLID UNSWEETENED MILK, OVER 1% FAT",04022190
137,0,1,21,Other Arab League Countries,"OTHER SOLID UNSWEETENED MILK, OVER 1% FAT",04022190
138,0,0,1,Other Country Groups,"OTHER SOLID UNSWEETENED MILK, OVER 1% FAT",04022190
139,0,0,1,Gulf Cooperation Council,"SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
140,0,0,5,Other Arab League Countries,"SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
141,0,0,0,Other Country Groups,"SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
142,0,1,29,Other Arab League Countries,OTHER SOLID SWEETENED MILK OVER 1% FAT,04022990
143,0,0,0,Other Country Groups,OTHER SOLID SWEETENED MILK OVER 1% FAT,04022990
144,0,72,273,Gulf Cooperation Council,"OTHER MILK, UNSWEETENED",04029110
145,0,27,67,Other Arab League Countries,"OTHER MILK, UNSWEETENED",04029110
146,0,0,1,Other Country Groups,"OTHER MILK, UNSWEETENED",04029110
147,0,1,9,Gulf Cooperation Council,"OTHER CREAM, UNSWEETENED",04029120
148,0,1,10,Other Arab League Countries,"OTHER CREAM, UNSWEETENED",04029120
149,0,0,0,Other Country Groups,"OTHER CREAM, UNSWEETENED",04029120
150,0,195,416,Gulf Cooperation Council,"OTHER MILK, SWEETENED",04029910
151,0,18,76,Other Arab League Countries,"OTHER MILK, SWEETENED",04029910
152,0,3,10,Islamic not Arabic countries,"OTHER MILK, SWEETENED",04029910
153,0,0,3,"Asian not Arabic ,not Islamic","OTHER MILK, SWEETENED",04029910
154,0,0,2,"African not Arabic,not Islamic","OTHER MILK, SWEETENED",04029910
155,0,2,5,South America,"OTHER MILK, SWEETENED",04029910
156,0,0,0,Other Country Groups,"OTHER MILK, SWEETENED",04029910
157,0,3,51,Gulf Cooperation Council,"OTHER CREAM, SWEETENED",04029920
158,0,2,18,Other Arab League Countries,"OTHER CREAM, SWEETENED",04029920
159,0,0,0,Other Country Groups,"OTHER CREAM, SWEETENED",04029920
160,0,158,687,Gulf Cooperation Council,YOGURT,04031000
161,0,4,18,Other Arab League Countries,YOGURT,04031000
162,0,0,0,Other Country Groups,YOGURT,04031000
163,0,3,34,Gulf Cooperation Council,LABNAH,04039010
164,0,0,2,Other Arab League Countries,LABNAH,04039010
165,0,19,120,Gulf Cooperation Council,LABAN,04039020
166,0,3,10,Other Arab League Countries,LABAN,04039020
167,0,1,3,Other Arab League Countries,OTHER MILK AND CREAM,04039090
168,0,0,0,Other Country Groups,OTHER MILK AND CREAM,04039090
169,0,0,3,Gulf Cooperation Council,WHEY,04041000
170,0,1,5,Other Arab League Countries,WHEY,04041000
171,0,0,0,Other Country Groups,WHEY,04041000
172,0,0,6,Gulf Cooperation Council,OTHER WHEY,04049000
173,0,0,4,Islamic not Arabic countries,OTHER WHEY,04049000
174,0,2,48,Gulf Cooperation Council,BUTTER,04051000
175,0,0,6,Other Arab League Countries,BUTTER,04051000
176,0,3,59,Gulf Cooperation Council,DAIRY SPREADS,04052000
177,0,0,1,Other Arab League Countries,DAIRY SPREADS,04052000
178,0,0,0,Other Country Groups,DAIRY SPREADS,04052000
179,0,1,14,Gulf Cooperation Council,GREASY MATERIALS DERIVED FROM MILK,04059000
180,0,0,1,Other Arab League Countries,GREASY MATERIALS DERIVED FROM MILK,04059000
181,0,0,0,Other Country Groups,GREASY MATERIALS DERIVED FROM MILK,04059000
182,0,6,112,Gulf Cooperation Council,FRESH CHEESE AND CURD,04061000
183,0,11,93,Other Arab League Countries,FRESH CHEESE AND CURD,04061000
184,0,0,1,Islamic not Arabic countries,FRESH CHEESE AND CURD,04061000
185,0,0,2,"Asian not Arabic ,not Islamic",FRESH CHEESE AND CURD,04061000
186,0,0,1,"African not Arabic,not Islamic",FRESH CHEESE AND CURD,04061000
187,0,0,0,Other Country Groups,FRESH CHEESE AND CURD,04061000
188,0,4,158,Gulf Cooperation Council,GRATED OR POWDERED CHEESE,04062000
189,0,3,36,Other Arab League Countries,GRATED OR POWDERED CHEESE,04062000
190,0,20,361,Gulf Cooperation Council,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
191,0,15,141,Other Arab League Countries,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
192,0,0,4,Islamic not Arabic countries,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
193,0,0,1,"Asian not Arabic ,not Islamic","PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
194,0,0,0,Other Country Groups,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
195,0,0,5,Gulf Cooperation Council,FRESH FERMENTED CREAM CHEESE,04069010
196,0,3,36,Other Arab League Countries,FRESH FERMENTED CREAM CHEESE,04069010
197,0,0,0,Other Country Groups,FRESH FERMENTED CREAM CHEESE,04069010
198,0,3,56,Gulf Cooperation Council,SOLID OR SEMI-SOLID CHEESE,04069020
199,0,1,24,Other Arab League Countries,SOLID OR SEMI-SOLID CHEESE,04069020
200,0,0,1,"Asian not Arabic ,not Islamic",SOLID OR SEMI-SOLID CHEESE,04069020
201,0,0,1,Other Country Groups,SOLID OR SEMI-SOLID CHEESE,04069020
202,0,7,89,Gulf Cooperation Council,OTHER CHEESE,04069090
203,0,11,114,Other Arab League Countries,OTHER CHEESE,04069090
204,0,0,0,Other Country Groups,OTHER CHEESE,04069090
205,0,1,5,Gulf Cooperation Council,Fresh eggs of fowls of the species Gallus domesticus,04072100
206,0,0,0,Other Country Groups,Fresh eggs of fowls of the species Gallus domesticus,04072100
207,0,2,12,Gulf Cooperation Council,OTHER FRESH BIRDS EGGS,04072900
208,0,0,0,Other Country Groups,OTHER FRESH BIRDS EGGS,04072900
209,0,0,2,Gulf Cooperation Council,"DRIED EGGS, NON-YOLKS",04089100
210,0,0,0,Other Country Groups,"DRIED EGGS, NON-YOLKS",04089100
211,0,1,31,Gulf Cooperation Council,NATURAL HONEY,04090000
212,0,1,13,Other Arab League Countries,NATURAL HONEY,04090000
213,0,0,1,Other Country Groups,NATURAL HONEY,04090000
214,6035,3,1,Gulf Cooperation Council,PALM TREE SEEDLINGS,06022010
215,50598,1,35,Other Arab League Countries,PALM TREE SEEDLINGS,06022010
216,12,0,0,Other Country Groups,PALM TREE SEEDLINGS,06022010
217,0,2,4,Gulf Cooperation Council,"TOMATOES, FRESH OR CHILLED",07020000
218,0,0,0,Other Country Groups,"TOMATOES, FRESH OR CHILLED",07020000
219,0,1,3,Gulf Cooperation Council,"GARLIC, FRESH",07032000
220,0,1,1,Other Arab League Countries,"GARLIC, FRESH",07032000
221,0,6,8,Gulf Cooperation Council,"CAULIFLOWERS AND HEADED BROCCOLI, FRESH",07041000
222,0,0,0,Other Country Groups,"CAULIFLOWERS AND HEADED BROCCOLI, FRESH",07041000
223,0,13,13,Gulf Cooperation Council,"OTHER EDIBLE BRASSICAS, FRESH",07049000
224,0,0,0,Other Country Groups,"OTHER EDIBLE BRASSICAS, FRESH",07049000
225,0,5,10,Gulf Cooperation Council,"CABBAGE LETTUCE (HEAD LETTUCE), FRESH",07051100
226,0,0,0,Other Country Groups,"CABBAGE LETTUCE (HEAD LETTUCE), FRESH",07051100
227,0,1,2,Gulf Cooperation Council,"OTHER CHICORY, FRESH",07052900
228,0,0,0,Other Country Groups,"OTHER CHICORY, FRESH",07052900
229,0,8,10,Gulf Cooperation Council,"CARROTS AND TURNIPS, FRESH",07061000
230,0,0,1,Other Arab League Countries,"CARROTS AND TURNIPS, FRESH",07061000
231,0,10,13,Gulf Cooperation Council,"OTHER EDIBLE ROOTS, FRESH",07069000
232,0,0,0,Other Country Groups,"OTHER EDIBLE ROOTS, FRESH",07069000
233,0,4,4,Gulf Cooperation Council,"CUCUMBERS AND GHERKINS, FRESH",07070000
234,0,0,0,Other Country Groups,"CUCUMBERS AND GHERKINS, FRESH",07070000
235,0,0,1,Gulf Cooperation Council,"PEAS, FRESH",07081000
236,0,0,1,Other Arab League Countries,"PEAS, FRESH",07081000
237,0,1,2,Gulf Cooperation Council,"BEANS, FRESH",07082000
238,0,0,0,Other Country Groups,"BEANS, FRESH",07082000
239,0,1,2,Gulf Cooperation Council,"KIDNEY BEANS, FRESH",07089010
240,0,0,1,Other Arab League Countries,"KIDNEY BEANS, FRESH",07089010
241,0,1,3,Gulf Cooperation Council,"OTHER LEGUMINOUS VEGETABLES, FRESH",07089090
242,0,0,0,Other Country Groups,"OTHER LEGUMINOUS VEGETABLES, FRESH",07089090
243,0,8,10,Gulf Cooperation Council,"AUBERGINES (EGG-PLANTS), FRESH",07093000
244,0,0,0,Other Country Groups,"AUBERGINES (EGG-PLANTS), FRESH",07093000
245,0,3,2,Gulf Cooperation Council,"Other Vegetables, Fresh Or Chilled",07095990
246,0,0,0,Other Country Groups,"Other Vegetables, Fresh Or Chilled",07095990
247,0,5,6,Gulf Cooperation Council,"FRUITS OF THE GENUS CAPSICUM OR PIMENTA, FRESH",07096000
248,0,0,0,Other Country Groups,"FRUITS OF THE GENUS CAPSICUM OR PIMENTA, FRESH",07096000
249,0,3,4,Gulf Cooperation Council,"MARROW, FRESH",07099910
250,0,0,0,Other Country Groups,"MARROW, FRESH",07099910
251,0,1,2,Gulf Cooperation Council,"OKRA, FRESH",07099920
252,0,4,8,Gulf Cooperation Council,"PARSLEY, FRESH",07099930
253,0,0,0,Other Country Groups,"PARSLEY, FRESH",07099930
254,0,4,6,Gulf Cooperation Council,"CORIANDER, FRESH",07099940
255,0,0,0,Other Country Groups,"CORIANDER, FRESH",07099940
256,0,1,1,Gulf Cooperation Council,"BEANS, FROZEN",07102200
257,0,0,1,Other Arab League Countries,"BEANS, FROZEN",07102200
258,0,1,3,Gulf Cooperation Council,OTHER FROZEN LEGUMINOUS VEGETABLES,07102900
259,0,0,0,Other Country Groups,OTHER FROZEN LEGUMINOUS VEGETABLES,07102900
260,0,0,1,Gulf Cooperation Council,"MIXTURES OF VEGETABLES, FROZEN",07109000
261,0,0,0,Other Country Groups,"MIXTURES OF VEGETABLES, FROZEN",07109000
262,0,1,2,Gulf Cooperation Council,"ONIONS, DRIED",07122000
263,0,2,3,Other Arab League Countries,"ONIONS, DRIED",07122000
264,0,1,4,Gulf Cooperation Council,"CHICKPEAS, DRIED",07132000
265,0,1,2,Other Arab League Countries,"CHICKPEAS, DRIED",07132000
266,0,0,0,Other Country Groups,"CHICKPEAS, DRIED",07132000
267,0,0,1,Gulf Cooperation Council,OTHER DRIED LEGUMINOUS VEGETABLES,07139090
268,0,0,0,Other Country Groups,OTHER DRIED LEGUMINOUS VEGETABLES,07139090
269,0,0,1,Gulf Cooperation Council,PISTACHIOS IN SHELLS,08025100
270,0,0,0,Other Country Groups,PISTACHIOS IN SHELLS,08025100
271,0,0,1,Other Arab League Countries,"PISTACHIOS, SHELLED",08025200
272,0,0,0,Other Country Groups,"PISTACHIOS, SHELLED",08025200
273,0,0,1,Gulf Cooperation Council,OTHER BANANAS,08039000
274,0,13,24,Other Arab League Countries,OTHER BANANAS,08039000
275,0,3,14,Gulf Cooperation Council,FRESH DATES,08041010
276,0,9,71,Other Arab League Countries,FRESH DATES,08041010
277,0,16,82,Islamic not Arabic countries,FRESH DATES,08041010
278,0,7,32,"Asian not Arabic ,not Islamic",FRESH DATES,08041010
279,0,3,9,"African not Arabic,not Islamic",FRESH DATES,08041010
280,0,0,2,Australia and Oceania,FRESH DATES,08041010
281,0,1,8,North America,FRESH DATES,08041010
282,0,3,24,European Union,FRESH DATES,08041010
283,0,0,4,Europe not European Union,FRESH DATES,08041010
284,0,0,0,Other Country Groups,FRESH DATES,08041010
285,0,36,218,Gulf Cooperation Council,STORED DATES,08041021
286,0,57,141,Other Arab League Countries,STORED DATES,08041021
287,0,2,12,Islamic not Arabic countries,STORED DATES,08041021
288,0,1,4,"Asian not Arabic ,not Islamic",STORED DATES,08041021
289,0,1,5,"African not Arabic,not Islamic",STORED DATES,08041021
290,0,0,2,Australia and Oceania,STORED DATES,08041021
291,0,1,9,North America,STORED DATES,08041021
292,0,1,3,South America,STORED DATES,08041021
293,0,1,4,European Union,STORED DATES,08041021
294,0,0,1,Europe not European Union,STORED DATES,08041021
295,0,31,163,Gulf Cooperation Council,OTHER DATES,08041029
296,0,8,41,Other Arab League Countries,OTHER DATES,08041029
297,0,2,8,Islamic not Arabic countries,OTHER DATES,08041029
298,0,3,13,"Asian not Arabic ,not Islamic",OTHER DATES,08041029
299,0,0,1,"African not Arabic,not Islamic",OTHER DATES,08041029
300,0,0,4,European Union,OTHER DATES,08041029
301,0,0,1,Europe not European Union,OTHER DATES,08041029
302,0,0,0,Other Country Groups,OTHER DATES,08041029
303,0,2,4,Gulf Cooperation Council,FRESH FIGS,08042010
304,0,2,8,Other Arab League Countries,FRESH FIGS,08042010
305,0,0,1,Islamic not Arabic countries,FRESH FIGS,08042010
306,0,2,8,"African not Arabic,not Islamic",FRESH FIGS,08042010
307,0,0,1,North America,FRESH FIGS,08042010
308,0,0,1,European Union,FRESH FIGS,08042010
309,0,0,0,Other Country Groups,FRESH FIGS,08042010
310,0,0,1,Other Arab League Countries,DRIED FIGS,08042020
311,0,0,1,Islamic not Arabic countries,DRIED FIGS,08042020
312,0,0,0,Other Country Groups,DRIED FIGS,08042020
313,0,1,2,Gulf Cooperation Council,PINEAPPLES,08043000
314,0,2,4,Other Arab League Countries,PINEAPPLES,08043000
315,0,0,1,Gulf Cooperation Council,AVOCADOS,08044000
316,0,0,0,Other Country Groups,AVOCADOS,08044000
317,0,1,3,Gulf Cooperation Council,MANGOES,08045020
318,0,0,0,Other Country Groups,MANGOES,08045020
319,0,9,16,Gulf Cooperation Council,ORANGES,08051000
320,0,10,16,Other Arab League Countries,ORANGES,08051000
321,0,0,0,Other Country Groups,ORANGES,08051000
322,0,3,7,Gulf Cooperation Council,MANDARINS AND CITRUS HYBRIDS,08052000
323,0,0,0,Other Country Groups,MANDARINS AND CITRUS HYBRIDS,08052000
324,0,9,19,Gulf Cooperation Council,FRESH LEMONS,08055010
325,0,2,4,Other Arab League Countries,FRESH LEMONS,08055010
326,0,0,0,Other Country Groups,FRESH LEMONS,08055010
327,0,3,8,Gulf Cooperation Council,OTHER CITRUS FRUIT,08059000
328,0,0,1,Other Arab League Countries,OTHER CITRUS FRUIT,08059000
329,0,1,3,Gulf Cooperation Council,FRESH GRAPES,08061000
330,0,0,0,Other Country Groups,FRESH GRAPES,08061000
331,0,0,1,Gulf Cooperation Council,DRIED GRAPES,08062000
332,0,0,1,Other Country Groups,DRIED GRAPES,08062000
333,0,0,1,Other Arab League Countries,"WATERMELON, CANTALOUPE AND FRESH PAPAYA.",08071990
334,0,0,0,Other Country Groups,"WATERMELON, CANTALOUPE AND FRESH PAPAYA.",08071990
335,0,4,10,Gulf Cooperation Council,"APPLES, FRESH",08081000
336,0,1,2,Other Arab League Countries,"APPLES, FRESH",08081000
337,0,1,2,Gulf Cooperation Council,"PEARS, FRESH",08083000
